player_id,short_name,value_eur,age,club_name,nationality_name
160089,B. Cespeda,1600000,30,LDU Quito,Ecuador
252526,D. Males,2700000,21,Basel,Switzerland
254849,Y. Badji,2200000,19,Sporting Charleroi,Senegal
202316,T. Chandler,2500000,31,Eintracht Frankfurt,United States
228332,H. Choudhury,3800000,23,Leicester City,England
186977,O. Merlo,525000,34,Sporting Cristal,Argentina
242994,K. Kesgin,1600000,21,Beşiktaş,Turkey
266126,Murilo,650000,26,HJK,Brazil
261304,A. Montgomery,875000,18,Aberdeen,Scotland
244486,M. Eskihellaç,1400000,24,Yeni Malatyaspor,Turkey
232161,R. Tranberg,425000,28,Varberg BoIS,Sweden
269981,T. Weber,230000,27,Bayreuth,Germany
175943,D. Mertens,18000000,35,Galatasaray,Belgium
226387,A. Bengtsson,375000,25,Halmstad,Sweden
190637,I. Armaș,400000,33,Voluntari,Moldova
182037,Yao Hanlin,45000,36,Wuhan Zall,China PR
253505,Rahul KP,325000,22,Kerala Blasters,India
238190,J. Castillo,925000,21,Charlton Athletic,Netherlands
268293,E. Camargo,700000,19,Deportivo Cali,Colombia
111503,C. Ben Saada,110000,37,Bastia,Tunisia
242160,M. Lode,1800000,28,Schalke 04,Norway
245719,A. Groiß,675000,23,Saarbrücken,Germany
264548,M. Gil,525000,20,Guabirá,Bolivia
230366,Silvosinho,3100000,25,Santos,Brazil
266792,V. Dican,500000,20,Botoşani,Romania
185260,D. Kadah,425000,35,Altay,Turkey
183346,F. Frei,1600000,32,Basel,Switzerland
263962,J. Szymański,325000,18,Górnik Zabrze,Poland
266303,A. Abdulai,240000,18,Swansea City,England
232104,D. James,16000000,23,Leeds United,Wales
266850,J. De Los Santos,950000,19,River Plate,Uruguay
158023,L. Messi,69500000,34,Paris Saint Germain,Argentina
216820,M. Simon,12500000,25,Nantes,Nigeria
188337,M. Wakaso,1800000,30,Shenzhen,Ghana
221695,G. Donsah,2300000,25,Yeni Malatyaspor,Ghana
256725,Fábio Carvalho,10000000,19,Liverpool,Portugal
263625,W. Ackx,450000,19,Cercle Brugge,Belgium
259265,M. Batna,1600000,31,Al Fateh,Morocco
242194,C. Almeida,750000,31,Nacional,Uruguay
243932,D. Philipp,1100000,22,Viktoria Köln,Germany
257896,N. Patterson,1900000,19,Everton,Scotland
196432,E. Pérez,2800000,36,River Plate,Argentina
